precip,temp
2.06,8.33333
2.59,10.5556
3.49,14.7778
3.07,19.1667
4.92,23.7778
4.11,27.8889
2.21,30.2222
1.87,30.3333
2.84,26.0556
4.79,20.1667
2.88,14.1111
2.74,8.88889
